index, elapse_time, susp_fl, susp_fr, susp_rl, susp_rr, acc_x, acc_y, acc_z, rot_x, rot_y, rot_z
0, 580, 36.37951, 42.91965, 52.16781, 28.20434, -0.76375, 2.74376, 9.64863, 0.00626, 0.08327, 0.03171
1, 620, 36.43061, 42.91965, 52.16781, 28.20434, -0.70030, 2.66235, 9.70729, 0.00693, 0.08220, 0.02971
2, 660, 36.43061, 42.91965, 52.16781, 28.20434, -0.71587, 2.66355, 9.61511, 0.00959, 0.07954, 0.03198
3, 700, 36.43061, 42.91965, 52.16781, 28.20434, -0.71706, 2.68031, 9.52892, 0.00973, 0.07727, 0.03584
4, 740, 36.43061, 42.91965, 52.16781, 28.20434, -0.72425, 2.70305, 9.61631, 0.00719, 0.08087, 0.03238
5, 784, 36.43061, 42.91965, 52.16781, 28.20434, -0.69911, 2.66834, 9.56484, 0.00759, 0.07874, 0.03437
6, 824, 36.43061, 42.91965, 52.16781, 28.20434, -0.72425, 2.69827, 9.58519, 0.00640, 0.08194, 0.03118
7, 864, 36.43061, 42.91965, 52.16781, 28.20434, -0.69312, 2.70545, 9.59117, 0.01146, 0.07568, 0.03384
8, 912, 36.43061, 42.91965, 52.16781, 28.20434, -0.70988, 2.68031, 9.87608, 0.00493, 0.08247, 0.03224
9, 956, 36.43061, 42.91965, 52.16781, 28.20434, -0.69671, 2.69467, 9.56484, 0.00626, 0.08220, 0.03198
10, 996, 36.43061, 42.91965, 52.16781, 28.20434, -0.75417, 2.72700, 9.64983, 0.00520, 0.08154, 0.03131
11, 1036, 36.43061, 42.91965, 52.16781, 28.20434, -0.78530, 2.71263, 9.85573, 0.00466, 0.08140, 0.03144
12, 1076, 36.43061, 42.91965, 52.16781, 28.20434, -0.71706, 2.75453, 9.48942, 0.00853, 0.07981, 0.03331
13, 1116, 36.43061, 42.91965, 52.16781, 28.20434, -0.71706, 2.67911, 9.59835, 0.01053, 0.07834, 0.03304
14, 1160, 36.43061, 42.91965, 52.16781, 28.20434, -0.69432, 2.69108, 9.63068, 0.00933, 0.08367, 0.03238
15, 1199, 36.43061, 42.91965, 52.16781, 28.20434, -0.71706, 2.69827, 9.61751, 0.00653, 0.08154, 0.03371
16, 1238, 36.43061, 42.91965, 52.16781, 28.20434, -0.71946, 2.68270, 9.63786, 0.00640, 0.07914, 0.03251
17, 1277, 36.43061, 42.91965, 52.16781, 28.20434, -0.75298, 2.68270, 9.56124, 0.00853, 0.08127, 0.03224
18, 1316, 36.43061, 42.91965, 52.16781, 28.20434, -0.69073, 2.68270, 9.59716, 0.00600, 0.07941, 0.03437
19, 1358, 36.43061, 42.91965, 52.16781, 28.20434, -0.69432, 2.70904, 9.64265, 0.00693, 0.07821, 0.03158
20, 1397, 36.43061, 42.91965, 52.16781, 28.20434, -0.84755, 2.88022, 9.76954, -0.00266, 0.08260, 0.03171
21, 1436, 36.43061, 42.91965, 52.16781, 28.20434, -0.76136, 2.68270, 9.66898, -0.00986, 0.08500, 0.02984
22, 1475, 36.43061, 42.91965, 52.16781, 28.20434, -0.76255, 2.60010, 9.57322, -0.06915, 0.11338, 0.00626
23, 1514, 36.43061, 42.91965, 52.16781, 28.20434, -0.76136, 2.60489, 9.53132, 0.01892, 0.07128, 0.03637
24, 1556, 36.43061, 42.91965, 52.16781, 28.20434, -0.60214, 2.62524, 9.73842, 0.01958, 0.07394, 0.03890
25, 1595, 36.43061, 42.91965, 52.16781, 28.20434, -0.61890, 2.57257, 9.47026, 0.00919, 0.06928, 0.03784
26, 1634, 36.43061, 42.91965, 52.16781, 28.20434, -0.73622, 2.67193, 9.67018, 0.00600, 0.07941, 0.03464
27, 1673, 36.43061, 42.91965, 52.16781, 28.20434, -0.67636, 2.66355, 9.61990, 0.00933, 0.07674, 0.03344
28, 1712, 36.43061, 42.91965, 52.16781, 28.20434, -0.67277, 2.70784, 9.62948, 0.00879, 0.08500, 0.03211
29, 1754, 36.43061, 42.91965, 52.16781, 28.20434, -0.63925, 2.68031, 9.54329, 0.01572, 0.07687, 0.03477
30, 1793, 36.43061, 42.91965, 52.16781, 28.20434, -0.62130, 2.46842, 9.39485, -0.01053, 0.07861, 0.03144
31, 1832, 36.43061, 42.91965, 52.16781, 28.20434, -0.74340, 2.63123, 9.74679, 0.00640, 0.08207, 0.03304
32, 1871, 36.43061, 42.91965, 52.16781, 28.20434, -0.73023, 2.63003, 9.43316, 0.00653, 0.08034, 0.03451
33, 1910, 36.43061, 42.91965, 52.16781, 28.20434, -0.73981, 2.70425, 9.67736, 0.00600, 0.08327, 0.03171
34, 1952, 36.43061, 42.91965, 52.16781, 28.20434, -0.72784, 2.70066, 9.60434, 0.00813, 0.07901, 0.03291
35, 1990, 36.43061, 42.91965, 52.16781, 28.20434, -0.71706, 2.67193, 9.57920, 0.00813, 0.07847, 0.03304
36, 2028, 36.43061, 42.91965, 52.16781, 28.20434, -0.73143, 2.67552, 9.62828, 0.00746, 0.08007, 0.03477
37, 2066, 36.43061, 42.91965, 52.16781, 28.20434, -0.72544, 2.70186, 9.67617, 0.00959, 0.07874, 0.03451
38, 2104, 36.43061, 42.91965, 52.16781, 28.20434, -0.68235, 2.43131, 10.15620, -0.00546, 0.06182, 0.03544
39, 2157, 36.43061, 42.91965, 52.16781, 28.20434, -0.74340, 2.66594, 9.73363, 0.01132, 0.07887, 0.03357
40, 2198, 36.43061, 42.91965, 52.16781, 28.20434, -0.71826, 2.83354, 10.90559, -0.05129, 0.06075, 0.03078
41, 2239, 36.43061, 42.91965, 52.16781, 28.20434, -0.85114, 2.70665, 9.40682, 0.01399, 0.07887, 0.03584
42, 2280, 36.43061, 42.91965, 52.16781, 28.20434, -0.80685, 2.74974, 9.65701, -0.00013, 0.08154, 0.03304
43, 2321, 36.43061, 42.91965, 52.16781, 28.20434, -0.59496, 2.75453, 8.74841, 0.02305, 0.08060, 0.03584
44, 2365, 36.43061, 42.91965, 52.16781, 28.20434, -0.65122, 2.72101, 9.21409, 0.01599, 0.08247, 0.03371
45, 2406, 36.43061, 42.91965, 52.16781, 28.20434, -0.77213, 2.65876, 9.64624, 0.00426, 0.07741, 0.03264
46, 2447, 36.43061, 42.91965, 52.16781, 28.20434, -0.75298, 2.73298, 9.64265, 0.00973, 0.08034, 0.03291
47, 2488, 36.43061, 42.91965, 52.16781, 28.20434, -0.70868, 2.68989, 9.66180, 0.00533, 0.08034, 0.03584
48, 2532, 36.43061, 42.91965, 52.16781, 28.20434, -0.68235, 2.73298, 9.58279, 0.00759, 0.08047, 0.03251
49, 2573, 36.43061, 42.91965, 52.16781, 28.20434, -0.71826, 2.64679, 9.61631, 0.00853, 0.07994, 0.03251
